,friend_out
1171,76561197996482317
1172,76561197996595501
1173,76561197997139310
1174,76561197997268166
1175,76561197997329575
1176,76561197998156167
1177,76561197998642622
1178,76561197998673129
1179,76561197998752206
1180,76561197999037137
1181,76561197999117524
1182,76561197999270150
1183,76561198000733754
1184,76561198001047257
1185,76561198001067344
1186,76561198001225963
1187,76561198001444538
1188,76561198001463635
1189,76561198001699426
1190,76561198002172850
1191,76561198002251076
1192,76561198002658772
1193,76561198003055248
1194,76561198003795143
1195,76561198004584775
1196,76561198005182341
1197,76561198005624242
1198,76561198006876833
1199,76561198007694830
1200,76561198008071922
1201,76561198011208893
1202,76561198011295861
1203,76561198011336399
1204,76561198011581292
1205,76561198011671224
1206,76561198013194346
1207,76561198013253485
1208,76561198013571644
1209,76561198013908664
1210,76561198014177938
1211,76561198015127340
1212,76561198015204326
1213,76561198016870644
1214,76561198017059176
1215,76561198017953444
1216,76561198018018791
1217,76561198018407733
1218,76561198018660341
1219,76561198019819414
1220,76561198019912276
1221,76561198020928770
1222,76561198020940328
1223,76561198021700232
1224,76561198021772148
1225,76561198021996546
1226,76561198022547581
1227,76561198022876474
1228,76561198023117494
1229,76561198023955895
1230,76561198024629045
1231,76561198024774747
1232,76561198025010841
1233,76561198025275111
1234,76561198025385015
1235,76561198025470345
1236,76561198025539750
1237,76561198026278428
1238,76561198026665958
1239,76561198027076445
1240,76561198027293882
1241,76561198027992042
1242,76561198028038144
1243,76561198028315546
1244,76561198028455542
1245,76561198029366325
1246,76561198029580136
1247,76561198030023274
1248,76561198030094587
1249,76561198030738725
1250,76561198030785368
1251,76561198031568237
1252,76561198032009449
1253,76561198032945101
1254,76561198032978332
1255,76561198034864086
1256,76561198034967139
1257,76561198036650821
1258,76561198037258234
1259,76561198037664418
1260,76561198038591922
1261,76561198039694896
1262,76561198040211636
1263,76561198040254919
1264,76561198040373047
1265,76561198040726412
1266,76561198040881477
1267,76561198040902586
1268,76561198041171716
1269,76561198041787987
1270,76561198042025383
1271,76561198042237110
1272,76561198042394281
1273,76561198043772167
1274,76561198043922676
1275,76561198044088497
1276,76561198044353349
1277,76561198045448257
1278,76561198045501167
1279,76561198045978633
1280,76561198046760972
1281,76561198048871679
1282,76561198048920576
1283,76561198048977091
1284,76561198049207424
1285,76561198049361713
1286,76561198051014365
1287,76561198051309614
1288,76561198051369010
1289,76561198051429563
1290,76561198052621767
1291,76561198052891441
1292,76561198054533332
1293,76561198055075701
1294,76561198055156247
1295,76561198055901394
1296,76561198055963308
1297,76561198056636404
1298,76561198056647879
1299,76561198058539956
1300,76561198060111776
1301,76561198060513014
1302,76561198062408422
1303,76561198064096594
1304,76561198064431422
1305,76561198064832950
1306,76561198065169849
1307,76561198067093870
1308,76561198067393697
1309,76561198067864687
1310,76561198068755222
1311,76561198069593025
1312,76561198070451702
1313,76561198070917391
1314,76561198071109742
1315,76561198071844735
1316,76561198072860724
1317,76561198073959400
1318,76561198077037679
1319,76561198078133735
1320,76561198079226957
1321,76561198081714707
1322,76561198082221231
1323,76561198082376682
1324,76561198082380011
1325,76561198090149534
1326,76561198093353316
1327,76561198093512403
1328,76561198095595684
1329,76561198099523934
1330,76561198122829289
1331,76561198205701976
1332,76561198296359885
1333,76561198325446147
1334,76561197960437566
1335,76561197960869554
1336,76561197960948808
1337,76561197961894011
1338,76561197962957701
1339,76561197963684829
1340,76561197963876634
1341,76561197963924999
1342,76561197964171843
1343,76561197964312228
1344,76561197965321233
1345,76561197966165194
